"Name","Category","Subcategory","Plan","Cost","Currency","Billing Cycle","Status","Start Date","Renewal Date","Priority","Usage Frequency","URL","Description","Notes","Account Email","Auto Renew","Safe for Work","China Region Only","a16z Rank"
"Adot","Other","Other","Premium","11.99","USD","Monthly","active","2024-08-25","2025-02-25","medium","monthly","https://adot.ai","AI-powered search and discovery platform.","AI-powered search and discovery platform.","user@example.com","Yes","Yes","No","35"
"Amadeus","APIs","APIs","Self-Service","0","USD","Monthly","active","2024-01-01","2025-12-31","medium","monthly","https://developers.amadeus.com","Travel and airline API platform for booking and travel data.","Travel and airline data APIs for applications.","user@example.com","Yes","Yes","No","55"
"Bolt.new","Build","Build","Pro","20","USD","Monthly","active","2024-07-30","2025-01-30","medium","weekly","https://bolt.new","AI-powered web development platform for rapid prototyping.","Rapid web development with AI assistance.","user@example.com","Yes","Yes","No","57"
"candy.ai","Roleplay","Roleplay","Premium","13.99","USD","Monthly","paused","2024-09-15","2025-03-15","low","rarely","https://candy.ai","AI companion and virtual girlfriend platform.","Virtual companion AI platform.","user@example.com","Yes","No","No","42"
"character.ai","Roleplay","Roleplay","Plus","9.99","USD","Monthly","active","2024-07-30","2025-01-30","low","weekly","https://character.ai","Platform for creating and chatting with AI characters.","Fun platform for creative roleplay with AI characters.","user@example.com","Yes","No","No","5"
"ChatGPT","Chat","Chat","Plus","20","USD","Monthly","active","2024-07-05","2025-01-05","high","daily","https://chat.openai.com","Advanced AI assistant with GPT-4 access, faster responses, and priority access during peak hours.","Essential for work projects and research. Great for coding assistance.","user@example.com","Yes","Yes","No","1"
"ChatPRD","Build","Build","Pro","15","USD","Monthly","active","2024-08-20","2025-02-20","medium","monthly","https://chatprd.ai","AI-powered product requirements document generation tool.","AI tool for generating product requirement documents.","user@example.com","Yes","Yes","No","59"
"CIVITAI","Image","Image","Pro","15","USD","Monthly","active","2024-08-25","2025-02-25","medium","weekly","https://civitai.com","Community platform for AI art models and generated images.","Community for AI art models and resources.","user@example.com","Yes","Yes","No","32"
"Claude","Chat","Chat","Pro","20","USD","Monthly","active","2024-08-01","2025-02-01","high","daily","https://claude.ai","AI assistant by Anthropic with advanced reasoning capabilities and safety features.","Great for complex reasoning and analysis tasks.","user@example.com","Yes","Yes","No","7"
"Claude Code","Dev","Dev","Pro","25","USD","Monthly","active","2024-08-12","2025-02-12","high","daily","https://www.anthropic.com/claude-code","Anthropic's AI coding assistant with advanced programming capabilities.","Advanced AI coding assistant from Anthropic.","user@example.com","Yes","Yes","No","61"
"Crushon AI","Roleplay","Roleplay","Premium","12.99","USD","Monthly","canceled","2024-06-01","2024-12-01","low","rarely","https://crushon.ai","AI companion platform for roleplay and conversation.","AI companion roleplay platform.","user@example.com","Yes","No","No","24"
"CURSOR","Build","Build","Pro","20","USD","Monthly","active","2024-07-05","2025-01-05","high","daily","https://cursor.sh","AI-powered code editor with intelligent autocompletion and generation.","Revolutionary AI-powered code editor for developers.","user@example.com","Yes","Yes","No","26"
